year,month,start_hour,bikeid,trip_count
2018,1,0,14539,2
2018,1,0,14545,1
2018,1,0,14556,1
2018,1,0,14558,2
2018,1,0,14566,1
2018,1,0,14568,1
2018,1,0,14580,1
2018,1,0,14582,1
2018,1,0,14583,1
2018,1,0,14589,3
2018,1,0,14591,1
2018,1,0,14594,1
2018,1,0,14595,1
2018,1,0,14596,1
