,Unnamed: 0,Unnamed: 1,Unnamed: 2,tripduration,tripduration.1
0,,,,len,mean
1,year,start station id,end station id,,
2,2014,72,72,6,1325.666667
3,2014,72,79,3,1532
4,2014,72,116,3,991.3333333
5,2014,72,127,2,856
6,2014,72,128,1,1016
7,2014,72,137,2,725
8,2014,72,147,2,1934
9,2014,72,150,2,1522
10,2014,72,151,1,1707
11,2014,72,152,1,1465
12,2014,72,153,2,969
13,2014,72,164,1,901
14,2014,72,167,1,1239
15,2014,72,168,1,932
16,2014,72,173,17,455.3529412
17,2014,72,195,2,1832
18,2014,72,212,21,945.2857143
19,2014,72,223,1,512
20,2014,72,225,3,1039.333333
21,2014,72,228,2,745.5
22,2014,72,229,3,1426.333333
23,2014,72,236,2,1961.5
24,2014,72,238,1,1092
25,2014,72,243,4,832.75
26,2014,72,247,2,741.5
27,2014,72,251,2,1694.5
28,2014,72,252,3,1063.666667
29,2014,72,254,1,855
30,2014,72,257,5,1587.2
31,2014,72,259,4,2111.25
32,2014,72,264,1,1060
33,2014,72,265,2,1670.5
34,2014,72,267,10,713.7
35,2014,72,276,1,1207
36,2014,72,280,1,1460
37,2014,72,281,2,1492.5
38,2014,72,284,4,1270
39,2014,72,285,1,445
40,2014,72,293,3,1510.666667
41,2014,72,294,2,888.5
42,2014,72,295,1,2217
43,2014,72,301,2,1072
44,2014,72,304,1,2231
45,2014,72,305,2,1953.5
46,2014,72,307,1,1748
47,2014,72,309,1,900
48,2014,72,317,1,705
49,2014,72,318,12,905.9166667
50,2014,72,319,1,1679
51,2014,72,325,2,989.5
52,2014,72,326,11,948.0909091
53,2014,72,328,13,1302.923077
54,2014,72,329,1,1348
55,2014,72,334,8,974.125
56,2014,72,335,2,378
57,2014,72,336,4,1508.5
58,2014,72,341,1,2230
59,2014,72,345,1,1601
60,2014,72,346,5,673.6
61,2014,72,347,4,850
62,2014,72,349,1,1155
63,2014,72,352,5,574.2
64,2014,72,355,1,242
65,2014,72,357,1,400
66,2014,72,358,4,1935
67,2014,72,359,8,1061.25
68,2014,72,362,1,877
